id_track,duration_sec,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence,bars,beats,sections,segments,tatums
1SEubcg5k2U9ljbgx3GMaf,154.10526,0.17991,149.90804,-5.318,95.515,0.2,4,0.842,2,0.506,1,0.534,59,242,8,685,484
0EzEXgNxJp1xUg00BoF95A,180.0,0.0,172.32109,-6.988,144.007,0.779,4,1.0,2,0.433,1,0.565,105,422,10,750,844
62V0QiWDbl1mYrIQ0rEQIg,172.0,0.0,172.0,-6.235,140.046,0.772,4,0.99,10,0.323,0,0.332,100,399,7,656,798
7LdcNlPNKrFLt067bYPOCt,116.8,2.17107,113.92871,-8.387,149.958,0.223,4,1.0,9,0.356,1,0.445,73,291,8,505,582
16ynnsDXevc3UCuOmg4L31,196.41469,0.06735,191.46014,-7.653,87.496,0.051,4,1.0,4,0.669,0,0.493,71,286,9,817,572
79NuWJzzxntPPy06Hs8qlU,125.57206,0.0,121.45778,-8.499,140.104,0.622,4,1.0,10,0.0,1,0.0,73,292,6,460,584
62v7tkdjGFBxw1vxN9oUZ5,108.0,0.0,95.99129,-5.543,159.998,0.853,4,0.854,1,0.279,0,0.461,70,283,7,477,566
61qSZy860zscftqLidsjd3,177.0,0.0,172.9306,-6.991,110.003,0.848,4,1.0,9,0.533,1,0.429,80,319,10,799,638
6MPSRdxT26dh7yvP83Jx3H,123.0,0.12766,119.3912,-8.043,136.049,0.917,4,1.0,10,0.002,0,0.343,68,275,8,475,550
6Sq7ltF9Qa7SNFBsV5Cogx,178.56744,0.20934,178.56744,-5.105,92.005,0.087,4,0.989,1,0.57,0,0.62,66,272,10,725,544
1IHWl5LamUGEuP4ozKQSXZ,243.71664,0.0,237.3834,-5.198,106.672,0.326,4,0.544,5,0.053,0,0.301,102,405,12,1071,810
3k3NWokhRRkEPhCzPmV8TW,258.29877,0.0,247.89624,-5.745,79.928,0.161,4,0.988,3,0.304,0,0.333,85,339,13,1001,678
5Eax0qFko2dh7Rl2lYs3bx,213.06122,2.77478,213.06122,-8.797,98.047,0.382,4,1.0,7,0.11,0,0.129,83,332,9,701,664
6Xom58OOXk2SoU711L2IXO,245.93996,0.0,230.07492,-5.453,99.968,0.381,4,0.993,5,0.332,0,0.505,101,405,12,864,810
7FlQk2gJ6TBrHHiidvdR2O,226.09332,0.1327,222.006,-3.554,94.048,0.119,4,0.98,4,0.729,0,0.596,87,352,12,933,704
2CeKVsFFXG4QzA415QygGb,155.96,0.7088,148.0272,-5.501,94.999,0.526,4,1.0,5,0.0,1,0.047,60,242,6,613,484
0lREs0EdgrMQQKw00yx0Ct,153.74998,0.0,149.46104,-5.253,96.018,0.867,4,1.0,10,0.486,0,0.489,61,244,10,667,488
1zsPaEkglFvxjAhrM8yhpr,196.6,0.10467,191.64009,-6.713,98.002,0.499,4,1.0,1,0.682,0,0.657,79,321,8,907,642
4tYFy8ALRjIZvnvSLw5lxN,227.62889,0.0,224.3454,-5.389,97.013,0.495,4,1.0,9,0.0,1,0.055,92,366,9,957,732
1VqdJfu2R0jnR1VGrTpqEB,254.0677,0.55778,237.05832,-10.053,126.256,0.28,4,0.996,8,0.694,1,0.715,131,524,10,713,1048
2JB4yy74C4alrHLUP1vC5E,244.07138,0.0,239.80408,-5.818,134.06,0.186,4,0.993,10,0.228,0,0.424,117,472,8,1136,944
0MHiYjjcHNYM9KURa6NveF,200.0,0.0,189.24263,-8.771,96.049,0.211,4,1.0,1,0.384,1,0.343,76,308,6,906,616
0UFthA0qo3JDLxqfG25kgP,179.0,0.1444,169.38957,-10.028,150.023,0.154,4,1.0,8,0.034,1,0.321,111,442,9,699,884
49HiSytCmA9gbwvWORUOPq,343.1467,0.20921,335.70248,-9.144,108.055,0.754,4,0.997,5,0.611,1,0.57,152,608,20,1287,1216
33HQZb5yMqtHmmJ0kLrO3l,279.80377,0.16639,274.91846,-10.985,133.629,0.043,4,1.0,0,0.688,1,0.706,143,569,11,781,1138
1nNBUK7ktg9n96YR4NNktg,218.04875,0.0,208.34685,-9.111,81.874,0.477,4,1.0,5,0.71,1,0.375,73,293,8,800,586
2GeR7M97pCrWrMh8d6BlrF,186.81819,5.67728,177.46431,-10.622,88.004,0.027,4,0.992,0,0.777,1,0.675,66,268,8,637,536
0kOb7wvK4Ol344AAow8EHo,191.5415,2.7922,178.81107,-7.888,56.155,0.056,3,0.315,0,0.754,1,0.72,55,171,6,609,342
52yAKumXlqPjUsIBlmiMvo,220.69333,0.35946,205.02638,-11.214,75.986,0.0,4,1.0,10,0.617,1,0.555,68,271,6,657,542
0TMGJMQJWHhuNY60MEr5jR,270.0,0.14517,262.25778,-10.048,147.9,0.25,4,1.0,8,0.626,1,0.637,165,657,12,922,1314
4p9jbhD6N7HpuECGusu6iT,257.2517,2.51937,237.45888,-6.793,169.99,0.237,3,0.555,9,0.401,1,0.546,239,718,9,698,1436
4nivAUgvOrWdkv44kjAlxs,279.70477,0.08127,273.39175,-4.415,133.886,0.612,4,0.971,11,0.69,1,0.654,154,615,11,850,1230
1dh3c1MESr5ibnZcMWbUK1,244.04636,0.38871,239.35129,-7.295,159.929,0.356,4,0.829,7,0.668,0,0.688,160,642,10,1070,1284
2RvetPNMoaOJbBo7FtCV0J,185.45332,0.42381,181.6381,-7.147,114.996,0.831,4,0.997,0,0.413,1,0.447,86,348,10,723,696
01blZNS5FgyRsPJAXxvxvo,265.0132,7.68,255.9942,-8.867,137.986,0.388,4,0.981,0,0.464,1,0.56,153,602,10,860,1204
0mGNDAW085Jkn8IbEalZG3,327.2286,0.26712,316.4996,-4.294,130.027,0.552,4,0.997,6,0.686,1,0.439,173,690,11,995,1380
08lvLdFzi5oNDhWVn58RWO,265.81332,0.0,258.36264,-7.401,166.001,0.468,3,1.0,1,0.498,1,0.607,237,715,13,858,1430
1H4Y9uW4N0LsxJUz0VnaPJ,204.67651,2.3278,197.88045,-4.674,140.032,0.6,4,0.893,5,0.482,0,0.546,117,470,10,679,940
6tRneEcItwpSxBtqgem5Dr,241.49924,0.12023,235.09624,-5.619,154.994,0.33,4,0.944,0,0.978,0,0.857,153,616,11,799,1232
0xoyUiHhxVH4gwb0CRgNmg,210.68503,0.322,204.59683,-4.508,154.946,0.615,4,0.795,7,0.211,1,0.475,137,538,7,824,1076
